"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Nov 15 08:06:06 GMT 2022","Tue Nov 15 08:06:47 GMT 2022","40329","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testCheckbox","Verify check box interaction","Verify that a the correct message is shown when the check boxes change"
"passed","Tue Nov 15 08:07:28 GMT 2022","Tue Nov 15 08:08:08 GMT 2022","40357","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testRadioButton","Verify radio button interaction","Verify that a the correct message is shown when the radio buttons change"
"passed","Tue Nov 15 08:05:25 GMT 2022","Tue Nov 15 08:06:06 GMT 2022","40492","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testButton","Verify button interaction","Verify that a the correct message is shown when the form button is clicked"
"passed","Tue Nov 15 08:06:47 GMT 2022","Tue Nov 15 08:07:27 GMT 2022","40282","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testImage","Verify Java image interaction","Verify that a the correct message is shown when the image is clicked"
"failed","Tue Nov 15 08:08:09 GMT 2022","Tue Nov 15 08:08:09 GMT 2022","203","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testShouldFail","Failed test example",""
