"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Nov 25 08:11:47 GMT 2022","Fri Nov 25 08:12:27 GMT 2022","40258","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testImage","Verify Java image interaction","Verify that a the correct message is shown when the image is clicked"
"failed","Fri Nov 25 08:13:09 GMT 2022","Fri Nov 25 08:13:09 GMT 2022","194","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testShouldFail","Failed test example",""
"passed","Fri Nov 25 08:11:06 GMT 2022","Fri Nov 25 08:11:47 GMT 2022","40449","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testCheckbox","Verify check box interaction","Verify that a the correct message is shown when the check boxes change"
"passed","Fri Nov 25 08:10:25 GMT 2022","Fri Nov 25 08:11:06 GMT 2022","40795","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testButton","Verify button interaction","Verify that a the correct message is shown when the form button is clicked"
"passed","Fri Nov 25 08:12:28 GMT 2022","Fri Nov 25 08:13:08 GMT 2022","40287","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testRadioButton","Verify radio button interaction","Verify that a the correct message is shown when the radio buttons change"
