"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 05 06:56:43 GMT 2023","Thu Jan 05 06:57:24 GMT 2023","40371","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testRadioButton","Verify radio button interaction","Verify that a the correct message is shown when the radio buttons change"
"passed","Thu Jan 05 06:54:41 GMT 2023","Thu Jan 05 06:55:21 GMT 2023","40732","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testButton","Verify button interaction","Verify that a the correct message is shown when the form button is clicked"
"passed","Thu Jan 05 06:55:22 GMT 2023","Thu Jan 05 06:56:02 GMT 2023","40338","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testCheckbox","Verify check box interaction","Verify that a the correct message is shown when the check boxes change"
"failed","Thu Jan 05 06:57:24 GMT 2023","Thu Jan 05 06:57:25 GMT 2023","196","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testShouldFail","Failed test example",""
"passed","Thu Jan 05 06:56:02 GMT 2023","Thu Jan 05 06:56:43 GMT 2023","40370","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testImage","Verify Java image interaction","Verify that a the correct message is shown when the image is clicked"
