"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 05 07:36:51 GMT 2023","Thu Jan 05 07:37:32 GMT 2023","40369","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testImage","Verify Java image interaction","Verify that a the correct message is shown when the image is clicked"
"passed","Thu Jan 05 07:36:11 GMT 2023","Thu Jan 05 07:36:51 GMT 2023","40350","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testCheckbox","Verify check box interaction","Verify that a the correct message is shown when the check boxes change"
"passed","Thu Jan 05 07:37:32 GMT 2023","Thu Jan 05 07:38:13 GMT 2023","40371","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testRadioButton","Verify radio button interaction","Verify that a the correct message is shown when the radio buttons change"
"failed","Thu Jan 05 07:38:14 GMT 2023","Thu Jan 05 07:38:14 GMT 2023","205","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testShouldFail","Failed test example",""
"passed","Thu Jan 05 07:35:30 GMT 2023","Thu Jan 05 07:36:10 GMT 2023","40563","Project","Project test suite","org.example.project.example.ExampleTest","org.example.project.example.ExampleTest","testButton","Verify button interaction","Verify that a the correct message is shown when the form button is clicked"
